x,y,frame
1413.5,990.5,4
1418.0,991.0,5
1437.5,991.5,6
1445.0,991.0,7
1453.5,991.5,8
1462.0,992.0,9
1498.0,987.5,10
1512.0,985.0,11
1525.0,987.5,12
1537.5,988.0,13
1550.0,987.0,14
1562.0,987.5,15
1574.5,986.5,16
1593.5,981.5,17
1604.0,982.5,18
1613.5,981.5,19
1625.5,981.0,20
1640.0,979.0,21
1653.0,978.0,22
1664.5,978.0,23
1677.5,978.0,24
1690.5,979.0,25
1700.5,977.0,26
1712.5,976.5,27
1722.5,975.0,28
1732.5,976.5,29
1742.0,979.5,30
1751.0,981.5,31
1760.5,980.5,32
1770.0,979.5,33
1781.5,978.5,34
1791.5,978.5,35
1800.5,979.0,36
1811.0,980.0,37
1820.5,980.5,38
1830.5,977.5,39
1839.0,975.5,40
1849.5,976.0,41
1858.0,976.5,42
1867.0,977.5,43
1875.5,979.5,44
1883.5,979.5,45
1890.0,982.5,46
1897.5,983.5,47
1903.5,986.5,48
1909.5,991.0,49
1916.0,997.0,50
1921.0,1003.0,51
1924.5,1008.5,52
1927.0,1010.5,53
1928.0,1016.0,54
1929.5,1019.0,55
1929.5,1022.5,56
1930.5,1027.0,57
1932.5,1027.0,58
1932.5,1026.0,59
1934.5,1028.5,60
1933.0,1029.0,61
1931.5,1033.5,62
1924.5,1035.5,63
1918.5,1037.0,64
1912.0,1037.5,65
1903.0,1038.5,66
1892.0,1038.5,67
1880.0,1039.5,68
1869.0,1039.0,69
1857.0,1040.0,70
1844.5,1038.5,71
1834.0,1037.5,72
1825.0,1037.0,73
1816.5,1035.0,74
1807.0,1034.5,75
1798.5,1035.0,76
1790.0,1036.5,77
1785.5,1035.5,78
1780.5,1034.5,79
1774.0,1033.5,80
1766.0,1032.5,81
1759.5,1032.0,82
1755.5,1032.0,83
1768.0,1032.5,84
1773.0,1033.5,85
1776.5,1034.5,86
1777.0,1035.5,87
1784.0,1034.5,88
1794.0,1032.5,89
1801.0,1030.5,90
1809.5,1025.5,91
1815.0,1026.5,92
1821.0,1025.0,93
1825.0,1022.0,94
1830.5,1019.0,95
1831.5,1015.0,96
1833.5,1010.5,97
1833.5,1007.5,98
1831.0,1004.5,99
1827.5,1002.5,100
1825.0,999.5,101
1821.5,997.0,102
1816.0,994.0,103
1804.5,991.0,104
1808.0,988.0,105
1832.5,987.5,106
1834.0,984.5,107
1836.0,983.0,108
1837.5,981.0,109
1839.5,978.0,110
1841.0,976.5,111
1843.0,973.5,112
1844.5,972.0,113
1846.5,969.0,114
1848.0,967.5,115
1850.0,964.5,116
1851.0,963.0,117
1852.5,960.0,118
1854.5,958.5,119
1856.0,955.5,120
1858.0,954.0,121
1859.5,951.0,122
1861.5,949.5,123
1863.0,946.5,124
1865.0,945.0,125
1866.5,942.0,126
1868.5,940.5,127
1870.0,937.5,128
1872.0,936.0,129
1873.5,933.0,130
1875.5,931.5,131
1877.0,928.5,132
1879.0,927.0,133
