frame,ball_d_raw,ball_d_smooth,poss_d_raw,poss_d_smooth,d_diff_smooth,d_avg_smooth
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,17.0449,17.0449,4.7836,4.7836,12.2613,10.9142
5,17.4133,17.2291,4.4867,4.6351,12.5940,10.9321
6,21.2728,18.5770,4.1363,4.4688,14.1081,11.5229
7,20.3955,19.0316,4.4292,4.4589,14.5727,11.7453
8,19.2717,19.0796,4.5592,4.4790,14.6006,11.7793
9,17.7607,19.2228,4.6259,4.4474,14.7754,11.8351
10,17.9196,19.3240,6.2677,4.8036,14.5204,12.0638
11,17.5593,18.5814,5.7870,5.1338,13.4476,11.8576
12,17.7865,18.0596,5.7196,5.3919,12.6677,11.7257
13,17.5984,17.7249,5.3179,5.5436,12.1813,11.6343
14,18.0628,17.7853,4.5082,5.5201,12.2652,11.6527
15,17.8069,17.7628,4.6143,5.1894,12.5734,11.4761
16,18.2586,17.9026,5.0684,5.0457,12.8569,11.4742
17,17.8374,17.9128,9.9319,5.8882,12.0247,11.9005
18,17.6050,17.9141,10.5886,6.9423,10.9718,12.4282
19,17.2705,17.7557,10.1509,8.0709,9.6848,12.9133
20,17.3926,17.6728,10.7532,9.2986,8.3742,13.4857
21,17.3318,17.4874,10.4299,10.3709,7.1165,13.9292
22,17.3760,17.3951,10.4314,10.4708,6.9243,13.9330
23,17.4727,17.3687,11.6875,10.6906,6.6781,14.0296
24,17.7908,17.4728,13.1730,11.2950,6.1778,14.3839
25,18.3772,17.6697,4.6492,10.0742,7.5955,13.8719
26,18.6266,17.9286,4.9525,8.9787,8.9499,13.4537
27,17.5831,17.9701,5.1192,7.9163,10.0538,12.9432
28,17.4900,17.9735,4.9044,6.5597,11.4139,12.2666
29,17.7208,17.9595,5.4767,5.0204,12.9391,11.4900
30,17.9708,17.8783,5.8222,5.2550,12.6233,11.5666
31,18.0579,17.7645,5.9934,5.4632,12.3014,11.6138
32,17.8648,17.8209,5.6044,5.5602,12.2606,11.6905
33,18.0506,17.9330,6.4795,5.8752,12.0578,11.9041
34,17.9171,17.9722,6.7394,6.1278,11.8445,12.0500
35,17.8600,17.9501,7.9070,6.5447,11.4053,12.2474
36,18.2109,17.9807,4.7710,6.3002,11.6804,12.1405
37,18.6313,18.1340,3.4862,5.8766,12.2573,12.0053
38,18.6718,18.2582,7.6174,6.1042,12.1540,12.1812
39,18.3993,18.3547,8.2031,6.3969,11.9577,12.3758
40,18.0653,18.3957,8.1669,6.4489,11.9468,12.4223
41,18.4281,18.4392,6.3256,6.7598,11.6793,12.5995
42,18.6976,18.4524,6.8096,7.4245,11.0279,12.9385
43,18.9137,18.5008,9.2384,7.7487,10.7521,13.1248
44,18.9137,18.6037,9.3829,7.9847,10.6190,13.2942
45,19.1221,18.8151,13.7509,9.1015,9.7136,13.9583
